sensor_status,sensor_errors
357,"Lightning failed,Lightning disturber,RH,Wind,Light/UV"
358,"Lightning noise,Lightning disturber,RH,Wind,Light/UV"
359,"Lightning failed,Lightning noise,Lightning disturber,RH,Wind,Light/UV"
360,"Pressure,RH,Wind,Light/UV"
361,"Lightning failed,Pressure,RH,Wind,Light/UV"
362,"Lightning noise,Pressure,RH,Wind,Light/UV"
363,"Lightning failed,Lightning noise,Pressure,RH,Wind,Light/UV"
364,"Lightning disturber,Pressure,RH,Wind,Light/UV"
365,"Lightning failed,Lightning disturber,Pressure,RH,Wind,Light/UV"
366,"Lightning noise,Lightning disturber,Pressure,RH,Wind,Light/UV"
367,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Wind,Light/UV"
368,"Temperature,RH,Wind,Light/UV"
369,"Lightning failed,Temperature,RH,Wind,Light/UV"
370,"Lightning noise,Temperature,RH,Wind,Light/UV"
371,"Lightning failed,Lightning noise,Temperature,RH,Wind,Light/UV"
372,"Lightning disturber,Temperature,RH,Wind,Light/UV"
373,"Lightning failed,Lightning disturber,Temperature,RH,Wind,Light/UV"
374,"Lightning noise,Lightning disturber,Temperature,RH,Wind,Light/UV"
375,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Wind,Light/UV"
376,"Pressure,Temperature,RH,Wind,Light/UV"
377,"Lightning failed,Pressure,Temperature,RH,Wind,Light/UV"
378,"Lightning noise,Pressure,Temperature,RH,Wind,Light/UV"
379,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Wind,Light/UV"
380,"Lightning disturber,Pressure,Temperature,RH,Wind,Light/UV"
381,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Wind,Light/UV"
382,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Light/UV"
383,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Light/UV"
384,"Precipitation,Light/UV"
385,"Lightning failed,Precipitation,Light/UV"
386,"Lightning noise,Precipitation,Light/UV"
387,"Lightning failed,Lightning noise,Precipitation,Light/UV"
388,"Lightning disturber,Precipitation,Light/UV"
389,"Lightning failed,Lightning disturber,Precipitation,Light/UV"
390,"Lightning noise,Lightning disturber,Precipitation,Light/UV"
391,"Lightning failed,Lightning noise,Lightning disturber,Precipitation,Light/UV"
392,"Pressure,Precipitation,Light/UV"
393,"Lightning failed,Pressure,Precipitation,Light/UV"
394,"Lightning noise,Pressure,Precipitation,Light/UV"
395,"Lightning failed,Lightning noise,Pressure,Precipitation,Light/UV"
396,"Lightning disturber,Pressure,Precipitation,Light/UV"
397,"Lightning failed,Lightning disturber,Pressure,Precipitation,Light/UV"
398,"Lightning noise,Lightning disturber,Pressure,Precipitation,Light/UV"
399,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Precipitation,Light/UV"
400,"Temperature,Precipitation,Light/UV"
401,"Lightning failed,Temperature,Precipitation,Light/UV"
402,"Lightning noise,Temperature,Precipitation,Light/UV"
403,"Lightning failed,Lightning noise,Temperature,Precipitation,Light/UV"
404,"Lightning disturber,Temperature,Precipitation,Light/UV"
405,"Lightning failed,Lightning disturber,Temperature,Precipitation,Light/UV"
406,"Lightning noise,Lightning disturber,Temperature,Precipitation,Light/UV"
407,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Precipitation,Light/UV"
408,"Pressure,Temperature,Precipitation,Light/UV"
409,"Lightning failed,Pressure,Temperature,Precipitation,Light/UV"
410,"Lightning noise,Pressure,Temperature,Precipitation,Light/UV"
411,"Lightning failed,Lightning noise,Pressure,Temperature,Precipitation,Light/UV"
412,"Lightning disturber,Pressure,Temperature,Precipitation,Light/UV"
413,"Lightning failed,Lightning disturber,Pressure,Temperature,Precipitation,Light/UV"
414,"Lightning noise,Lightning disturber,Pressure,Temperature,Precipitation,Light/UV"
415,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Precipitation,Light/UV"
416,"RH,Precipitation,Light/UV"
417,"Lightning failed,RH,Precipitation,Light/UV"
418,"Lightning noise,RH,Precipitation,Light/UV"
419,"Lightning failed,Lightning noise,RH,Precipitation,Light/UV"
420,"Lightning disturber,RH,Precipitation,Light/UV"
421,"Lightning failed,Lightning disturber,RH,Precipitation,Light/UV"
422,"Lightning noise,Lightning disturber,RH,Precipitation,Light/UV"
423,"Lightning failed,Lightning noise,Lightning disturber,RH,Precipitation,Light/UV"
424,"Pressure,RH,Precipitation,Light/UV"
425,"Lightning failed,Pressure,RH,Precipitation,Light/UV"
426,"Lightning noise,Pressure,RH,Precipitation,Light/UV"
427,"Lightning failed,Lightning noise,Pressure,RH,Precipitation,Light/UV"
428,"Lightning disturber,Pressure,RH,Precipitation,Light/UV"
429,"Lightning failed,Lightning disturber,Pressure,RH,Precipitation,Light/UV"
430,"Lightning noise,Lightning disturber,Pressure,RH,Precipitation,Light/UV"
431,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Precipitation,Light/UV"
432,"Temperature,RH,Precipitation,Light/UV"
433,"Lightning failed,Temperature,RH,Precipitation,Light/UV"
434,"Lightning noise,Temperature,RH,Precipitation,Light/UV"
435,"Lightning failed,Lightning noise,Temperature,RH,Precipitation,Light/UV"
436,"Lightning disturber,Temperature,RH,Precipitation,Light/UV"
437,"Lightning failed,Lightning disturber,Temperature,RH,Precipitation,Light/UV"
438,"Lightning noise,Lightning disturber,Temperature,RH,Precipitation,Light/UV"
439,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Precipitation,Light/UV"
440,"Pressure,Temperature,RH,Precipitation,Light/UV"
441,"Lightning failed,Pressure,Temperature,RH,Precipitation,Light/UV"
442,"Lightning noise,Pressure,Temperature,RH,Precipitation,Light/UV"
